act_codeck,act_fullname,act_custodynum,act_custodynum2,fromdate,todate,cf,bmv,mv,ror,compound,cwr,ast_sector,ind_sector,rpt_cur,feesnb,composite
,,,,03/31/2016,03/31/2016,33843227.44,33843227.44,33843227.44,0,1,100,All,All,CAD,N,
,,,,03/31/2016,04/30/2016,4630915.53,33843227.44,38522871.44,0.144,1.00144,100.144,All,All,CAD,N,
,,,,04/30/2016,05/31/2016,0,38522871.44,39591673.08,2.774,1.02921995,102.9219946,All,All,CAD,N,
,,,,05/31/2016,06/30/2016,18064702.85,39591673.08,59102786.68,3.653,1.06681735,106.681735,All,All,CAD,N,
,,,,06/30/2016,07/31/2016,2730791.2,59102786.68,62882967.73,1.776,1.08576403,108.5764026,All,All,CAD,N,
,,,,07/31/2016,08/31/2016,10600533.22,62882967.73,74573431.76,1.733,1.10458032,110.4580317,All,All,CAD,N,
,,,,08/31/2016,09/30/2016,1622574.84,74573431.76,75671011.79,-0.704,1.09680407,109.6804072,All,All,CAD,N,
,,,,09/30/2016,10/31/2016,0,75671011.79,75925532.77,0.336,1.10048933,110.0489333,All,All,CAD,N,
,,,,10/31/2016,11/30/2016,0,75925532.77,75865704.49,-0.079,1.09961994,109.9619947,All,All,CAD,N,
,,,,11/30/2016,12/31/2016,-1000,75865704.49,76420737.83,0.733,1.10768015,110.7680161,All,All,CAD,N,
,,,,12/31/2016,01/31/2017,-3806989,76420737.83,72601169.31,-0.016,1.10750292,110.7502932,All,All,CAD,N,
,,,,01/31/2017,02/28/2017,0,72601169.31,75061525.85,3.389,1.14503619,114.5036206,All,All,CAD,N,
,,,,02/28/2017,03/31/2017,0,75061525.85,75869546.8,1.076,1.15735678,115.7356796,All,All,CAD,N,
,,,,03/31/2017,04/30/2017,2911644.34,75869546.8,81435618.2,3.489,1.19773696,119.7736975,All,All,CAD,N,
,,,,04/30/2017,05/31/2017,-37934.35,81435618.2,82221769.63,1.012,1.20985806,120.9858073,All,All,CAD,N,
,,,,05/31/2017,06/30/2017,0,82221769.63,79645386,-3.133,1.17195321,117.1953219,All,All,CAD,N,
,,,,06/30/2017,07/31/2017,0,79645386,78363732.95,-1.609,1.15309648,115.3096492,All,All,CAD,N,
